Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100nF,
"C10, C11",1206,2,2.2uF,
"C12, C13, C3, C4",0805,4,4.7nF,
"C2, C7",0805,2,100nF,
C5,0603,1,1.5nF,
C6,0805,1,22uF,
"C8, C9",0805,2,1uF,
"J1, J3",JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,2,Miscelaneous,
J10,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
J13,PinHeader_2x08_P1.27mm_Vertical,1,Conn_02x08_Odd_Even,
"J2, J4",JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,2,SPI,
"J5, J6",5050060812,2,505006-0812,
"J7, J8",JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,2,CS_SPI,
R1,0603,1,1k,
"R11, R12",0603,2,10k,
"R2, R8",0603,2,100k,
R3,0603,1,1M,
"R4, R5, R6, R7",0805,4,4.7k,
U1,QFN-32-1EP_4x4mm_P0.4mm_EP2.9x2.9mm,1,ADS1292IRSMR,
U2,SOT-23-5,1,AP2112K-3.3,
